ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,4,42,4204202,2,2,1,224.417868,250.306386,A,C,D,C,A,A,B,D,B,B
2017,5,52,5220207,2,3,1,198.85565,266.070258,B,C,D,A,A,B,B,B,D,B
2017,5,53,5300108,1,2,1,252.883727,232.631332,B,F,D,A,A,A,A,A,D,A
2017,2,23,2303006,2,3,1,253.368273,298.918291,A,C,C,B,A,A,A,B,A,B
2017,2,29,2925105,2,3,2,250.726822,233.822956,A,C,D,B,A,A, ,C,C,C
2017,3,33,3303500,2,3,1,191.729544,258.20006,A,C,D,B,B,C,A,A,D,A
2017,2,26,2603454,2,3,1,210.302894,283.289678,B,B,D,A,A,A,A,A,A,C
2017,1,13,1302603,1,3,2,185.385157,168.285122,B,C,D,A,A,A, ,E,E,C
2017,2,27,2708204,2,3,2,222.603919,204.53342,B,C,D,B,A,A,A,A,E,C
2017,4,41,4108304,2,3,1,252.960032,281.183823,A,A,C,B,A,A,B,A,A,C
2017,4,43,4320206,2,3,1,194.842319,239.484681,B,A,D,B,A,A,A,A,A,C
2017,2,24,2401453,2,3,1,202.423551,226.885489,A,C,D,A,A,B,B,C,A,A
2017,3,35,3509502,2,2,1,242.488271,329.174206,A,A,D,A,A,B,B,C,B,C
2017,4,41,4113700,2,3,1,250.748364,253.989635,B,A,C,A,C,C,A,D,D,B
2017,3,35,3533007,2,3,1,285.493213,259.289792,A,C,D,B,A,A,B,D,E,B
2017,1,15,1501709,2,3,2,189.294968,205.409253,B, ,D,A,B,B,C,B,C,C
2017,3,35,3519071,2,3,1,199.716869,218.927427,B,B,E,C,A,C,A,A,A,B
2017,4,42,4216255,2,3,1,236.67818,245.218005,B,A,C,B,A,A,A,C,B,A
2017,4,41,4128104,2,3,1,294.101772,265.49535,B,A,D,C,A,A,A,C,A,B
2017,5,53,5300108,1,2,1,267.894134,259.154142,A,C,D,A,C,A,A,D,A,C
2017,5,52,5211503,2,3,1,237.314398,248.49922,B,F,C,B,A,A,C,E,D,C
2017,3,31,3154002,2,3,1,255.856179,256.039821,B,C,D,A,A,A,C,D,A,B
2017,2,29,2932903,2,3,1,138.203422,227.584366,A, ,G,A,A,A,A,A,D,C
2017,3,33,3304557,1,3,1,270.531399,231.164326,B,C,C,A,A,A,A,D,A,A
2017,3,31,3105608,2,2,1,189.936751,182.554768,B,F,D,D,A,A,A,E,C,A
2017,4,42,4210506,2,2,1,169.276574,143.587308,B,F,D,B,A,A,A,B,B,A
2017,4,41,4104808,2,3,1,230.764789,266.173603,B,A,C,A,B,A,A,A,A,A
2017,2,26,2601201,2,3,2,136.33482,132.003902,A,C,F,A,A,A,A,D,A,A
2017,3,32,3205002,2,2,1,250.906922,274.15704,B,D,D,A,A,B,A,B,B,B
2017,3,33,3302700,2,3,2,209.907599,190.538261,B,F,G,E,A,B,C,D,E,A
2017,3,35,3502804,2,3,1,190.52972,170.054449,A,C,D,A,A,A,B,D,A,B
2017,3,33,3304557,1,3,1,147.350518,133.931629,B,B,G,A,A,A,A,D,C,A
2017,4,43,4308656,2,3,2,209.249949,220.200766,B,A,C,B,A,A,B,B,A,C
2017,3,31,3168408,2,2,1,238.348005,265.229805,A,C,E,B,A,A,B,B,B,B
2017,4,41,4108304,2,3,1,176.723599,269.509201,A,C,E,A,A,A,A,C,A,A
2017,1,13,1300631,2,3,1,146.253058,131.288592,A,F,C,A,A,B,C,B,C,C
2017,3,35,3550308,1,3,1,292.462358,213.231664,B,C,C,B,C,A,A,B,E,A
2017,3,32,3201308,2,2,1,214.52613,198.908249,A,C,D,B,A,A,A,C, ,A
2017,3,35,3518800,2,2,1,311.147162,295.835382,B,C,D,B,A,A,A,B,B,C
2017,2,29,2919207,2,3,1,204.725517,184.045584,B,C,G,A,A,B,A,C,D,C
2017,3,35,3543402,2,3,1,227.766167,237.638222,B,D,C,B,A,B,B,A,A,B
2017,3,31,3101607,2,2,1,153.647028,201.624616,A,C,D,A,A,B,A,C,A,C
2017,3,35,3550308,1,2,1,282.845261,320.161232,A,A,D,B,A,A,B,B,A,B
2017,3,35,3541604,2,2,2,199.117398,276.612781,B,A,C,A,A,C,B,B,A,B
2017,5,50,5002704,1,2,1,173.876099,198.535559,A,C,C,B,A,A,A,A,D,C
2017,3,33,3301900,2,3,1,195.264554,178.841841,A,A,E,B,A,A,A,A,A,B
2017,4,41,4107256,2,3,1,267.634259,255.347259,A,A,D,C,A,A,A,B,B,A
2017,3,35,3550308,1,3,1,214.772838,212.42905,B, ,D,A,A,C,A,A,E,B
2017,1,15,1504208,2,3,1,136.736616,118.467451,A,C,D,B,A,B,C,C,A,A
2017,4,42,4219309,2,3,1,183.161259,278.864906,A,C,C,B,A,A,C,A,A,B
2017,1,13,1300631,2,2,1,173.357725,152.816026,A,A,D,A,A,A,A,D,E,A
2017,2,24,2401107,2,2,1,166.482349,186.972218,A,C,D,D,A,A,A,D,E,C
2017,3,35,3507506,2,3,1,296.865255,296.818305,B,C,C,C,A,A,A,B,A,A
2017,1,15,1500404,2,3,1,136.890216,184.511782,B,C,D,B, ,B, ,A,A,C
2017,4,41,4105607,2,3,1,278.745048,289.649275,B,A,D,D,A,A,A,D,A,B
2017,4,43,4320552,2,3,2,240.981633,242.22497,B,B,C,A,A,A,C,A,D,A
2017,4,43,4302709,2,2,1,280.564065,227.22509,A, ,D,B,A,B,A,B,D,A
2017,3,35,3550308,1,2,1,162.669007,157.806093,B,B,D,A,A,A,A,B,D,B
2017,3,35,3504503,2,3,1,182.438268,234.22186,A,A,C,A,A,A,B,A,E,C
2017,3,35,3550308,1,2,1,273.924378,281.929203,B,C,D,C,A,A,A,A,B,B
2017,4,42,4203006,2,3,1,291.498941,309.611052,B,A,D,C,A,A,A, ,A,B
2017,3,35,3550308,1,3,1,269.250974,215.553096,A,C,C,B,A,B,A,B,B,B
2017,2,23,2304400,1,3,1,262.611122,239.087119,B,C,C,C,A,A,A,A,A,A
2017,4,41,4104006,2,3,1,216.389168,234.821473,B,C,D,B,A,C,B,A,A,B
2017,3,33,3304904,2,3,1,145.891315,234.929233,A,C,F,B,A,B,A,B,E,C
2017,2,29,2902906,2,3,1,219.58877,201.561457,A,A,D,A,A,A,A,A,A,C
2017,5,51,5105002,2,2,2,237.350154,209.639408,B,C,D,A,A,A,A,B,A,A
2017,3,35,3538907,2,3,1,164.797153,257.757057,B,C,C,B,A,A,A,A,A,A
2017,2,29,2933307,2,3,1,255.679881,282.438215,A,E,E,B,A,A,C,B,C,C
2017,2,23,2307304,2,3,1,226.093753,245.107002,B,C,C,A,A,C,A,C,A,A
2017,3,31,3132503,2,3,1,241.734318,265.651401,B,C,D,A,A,B,A,A,A,B
2017,3,35,3520509,2,3,1,276.979085,317.87954,B,A,D,C,A,C,A,B,B,A
2017,2,27,2709301,2,3,2,234.289497,231.748904,B,C,E,B,B,A,B,D,D,B
2017,3,35,3550308,1,2,1,242.164432,280.926886,A,A,D,A,A,B,A,D,E,C
2017,2,23,2305506,2,3,2,176.279106,252.128085,A,C,D,A,A,A,B, ,C,B
2017,1,13,1302603,1,2,1,236.896405,231.96884,B,A,C,A,A,A,A,D,A,B
2017,1,15,1500800,2,3,1,230.440895,227.93129,A,C,D,A,A,C,A,C,B,B
2017,2,21,2105922,2,3,2,149.551222,169.476243,B,B,C,A,A,A,C,C,A,B
2017,3,31,3144300,2,2,1,236.94979,175.727073,B,A,C,B,A,A,A,C,B,B
2017,3,31,3142403,2,3,1,253.966202,356.977956,A,A,D,C,A,C,A, ,B,A
2017,2,22,2202554,2,3,1,169.725805,156.997386,B,F,E,A,C,A,C,C,A,C
2017,3,31,3106200,1,2,1,264.247174,284.849913,A,A,D,B,A, ,B,D,A,B
2017,3,31,3130051,2,2,2,127.610015,194.458213,A, ,D, ,B,A, , ,B,B
2017,2,23,2304400,1,3,1,258.897664,272.461322,B,B,D,A,A,A,A,C,A,B
2017,2,29,2903904,2,3,1,170.09405,194.71202,A,C,D,A,A,A,A,A,D,A
2017,3,35,3505708,2,3,1,283.371182,267.165189,A,C,D,B,A,A,A,C,A,C
2017,1,13,1302603,1,3,1,241.011438,212.067929,B,A,C,A,A,B,A,C,A,C
2017,3,31,3118601,2,3,1,184.728995,225.96198,B,F,D,A,A,A,A,D,E,B
2017,3,35,3552205,2,2,1,205.60668,187.437578,B,A, ,E,A,A,A,D,B,B
2017,3,31,3159605,2,3,1,215.888424,279.860349,B,F,C,B,A,A,A,B,B,B
2017,2,26,2612505,2,3,2,178.93119,204.872072,B,C,D,B,A,A,B,C,B,A
2017,3,33,3302056,2,3,2,224.158434,242.402205,A,A,D,A,C,C,A,D,E,C
2017,2,26,2611606,1,3,1,184.992176,173.550905,B,C,E,A,A,B,A,B,A,A
2017,3,33,3301702,2,3,1,163.769552,217.92008,B,A,D,A,A,B,B,C,A,C
2017,3,35,3507605,2,3,1,213.042576,202.333498,B, ,E,B,A,A,A,D,A,B
2017,1,17,1717008,2,3,1,180.167485,173.291453,B,D,D,B,A,A,A,A,B,A
2017,2,29,2909505,2,3,1,134.403522,192.95471,A,C,D,A,A,A,C,B,A,C
2017,2,23,2301851,2,3,1,140.732648,209.186792,A,C,E,A,A,A,A,B,A,A
2017,2,23,2311504,2,3,1,259.073081,296.500166,A,C,C,A,A,A,A,B,D,C
2017,2,23,2304400,1,3,1,273.569632,209.848166,A,C,C,A,A,B,B,B,A,B
2017,4,41,4111258,2,3,2,227.540395,222.385597,B,A,C,B,B,A,A,B,B,B
2017,3,35,3507001,2,3,1,258.564734,208.264009,B, ,D,B,A,B,A,A,B,C
2017,5,52,5218805,2,3,1,242.385907,294.646161,B,C,C,B,C,C,A,E,E,C
2017,3,35,3549805,2,3,1,323.908438,279.776566,B,A,D,A,A,B,A,C,A,B
2017,1,15,1501402,1,2,1,184.768222,177.69303,A, ,D,A,A,A,A,C,A,B
2017,2,24,2402501,2,3,2,204.748766,179.938784,B,A,C,C,A,C,A,C,E,A
2017,5,53,5300108,1,2,1,208.28835,200.087353,B,A,D,B,A,B,C,B,D,B
2017,1,15,1507953,2,3,1,113.634592,151.802474,A,C,E,A,A,A,C,C,B,A
2017,5,50,5003801,2,2,1,246.620769,223.989651,B,C,D,C,B,B,A,B,B,A
2017,3,31,3170206,2,3,1,183.387637,146.019015,A, ,D,B,A,A,B,D,A,B
2017,3,31,3106200,1,3,1,331.154592,327.085621,B,A,D,B,A,A,A,D,B,A
2017,4,43,6310391,1,3,1,246.494054,228.910524,B,A,D,B,A,A,C,A,A,B
2017,3,35,3553906,2,3,1,211.496491,199.724891,B,F,C,D,A,A,A,B,C,B
2017,3,35,3550308,1,3,1,206.294411,215.805897,A,C,C,B,A,A,C,A,E,B
2017,2,28,2806206,2,3,2,155.770767,161.053772,B,B,H,A,A,A,A,E,A,C
2017,3,31,3107307,2,2,1,129.657615,183.641427,A,C, ,A,B,A,B, , ,A
2017,5,52,5204508,2,3,1,205.20516,154.690263,B,C,C,A,A,A,A,A,A,C
